RefDes;Value;Pattern;Name;Manufacturer
1MHz;1MHz;Testpoint;TESTPOINT;
Bliley;NV47M1008;Bliley;Bliley;Bliley
C1, C2, C3, C6, C102, C104, C106, C107, C109, C111, C112, C113, C202, C204;100nF;CAP_0805;CAP_FIXED;
C4;1uFT;CAP_1805;CAP_POLARIZED1;
C5, C8, C9;100uF;CAPPR-2.5/6.5h12;CAP_POLARIZED1;
C7;1nF;CAP_0805;CAP_FIXED;
C10;10uFT;CAP_1210;CAP_POLARIZED1;
C11, C12;10uF;CAP_1206;CAP_FIXED;
C101, C116, C117;2.2uFT;CAP_0805;CAP_POLARIZED1;
C103;100uF/12V;CAP_1210;CAP_POLARIZED1;
C105;15pF;CAP_0805;CAP_FIXED;
C108, C110;4.7uFT;CAP_0805;CAP_POLARIZED1;
C114;100nF;CAP_0805;CAP_POLARIZED1;
C115;1000uF;CAPPR-5/10.5h22;CAP_POLARIZED1;
C201;22pF;CAP_0805;CAP_FIXED;
C203;100uF/25V;CAP_1210;CAP_POLARIZED1;
ChassisGND;;Solder Pad;Solder Pad;
Comp;Comp;Testpoint;TESTPOINT;
CTI;OC5SC25;CTI;CTI;CTI
D1;1N5711;D-upright;DIO_SCHOTTKY;
D101;1N4004;DO-35;DIODE;
F101;2A;Fuse Holder;FUSE;
GND1, GND_;GND;Testpoint;TESTPOINT;
IO101;;TerminalBlock2;TerminalBlock2;
IsoTemp;OCXO 143-141;Isotemp;Isotemp;Isotemp Research Inc.
J1, J4;;HDR-1x3T/2.54/7x2;644456-3;TE Connectivity
J2;;HDR-1x5T/2.54/12x2;LPPB051NGCN-RC;Sullins
J3, J101;;031-5637;031-5637;Amphenol
J5, J102;LED;HDR-1x2T/2.54/5x2;644456-2;TE Connectivity
L101, L103, L201;;DO-7;FERRITE_CORE;
L102;33uH;CAP-2.54/4x2.5;IND_IRON_CORE;
L202;10uH;CAP-2.54/4x2.5;IND_IRON_CORE;
Oscilloquartz;8663-XS;Oscilloquartz;Oscilloquartz;Oscilloquartz
Q101;;TO-18V;2N2907A;ST Microelectronics
R1, R2, R3, R5, R6, R8, R9, R10, R11, R102, R103;100R;RES_0805;RES_FIXED;
R4;3K9;RES_0805;RES_FIXED;
R7;1K;RES_0805;RES_FIXED;
R12, R13;68R;RES_0805;RES_FIXED;
R14, R101, R115;220R;RES_0805;RES_FIXED;
R16, R17, R201;0R;RES_0805;RES_FIXED;
R44, R105, R112;NI;RES_0805;RES_FIXED;
R104, R113, R205, R206;10K;RES_0805;RES_FIXED;
R107;10K;3296W;262X;CTS
R108, R109;39K;RES_0805;RES_FIXED;
R110;27K;RES_0805;RES_FIXED;
R114;10M;RES_0805;RES_FIXED;
R202;0R NI;RES_0805;RES_FIXED;
R203, R204;50R;RES_0805;RES_FIXED;
U1;;DIP-16;SN74HC390N;Texas Instruments
U2;PD10;DIP-8;picDiv;
U3;;TO-92-100;MC78L05ABP;Motorola
U4;;DIP-16;MM74HC4046N;Fairchild
U5;;Arduino Nano 3.0;Arduino Nano 3.0;Arduino
U6, U7;;TO-92-100;LM35CZ;National Semiconductor
U101;;DIP-8;REF02EZ;Analog Devices
U102, U103;;DIP-14;74HC14AN;Motorola
U104;;TO-220;LM7808CT;National Semiconductor
U105;;TO-220;LM7812CT;National Semiconductor
U106;;TO-220;LM7805CT;National Semiconductor
V-Adj;V-adj;Testpoint;TESTPOINT;
Y201;65256;Oscilloquartz;Trimble;Trmble
